Position,Hauteur,Debit,Vitesse
-19.9575,6.50429,24.9324,3.83322
-19.9225,6.50034,24.9488,3.83808
-19.8876,6.49639,24.9652,3.84293
-19.8526,6.49244,24.9815,3.84779
-19.8176,6.48849,24.9978,3.85264
-19.7826,6.48454,25.0141,3.8575
-19.7476,6.48059,25.0303,3.86235
-19.7126,6.47665,25.0465,3.86721
-19.6777,6.4727,25.0627,3.87206
-19.6427,6.46876,25.0788,3.87692
-19.6077,6.46482,25.0949,3.88177
-19.5727,6.46088,25.111,3.88663
-19.5377,6.45694,25.1271,3.89148
-19.5027,6.453,25.1431,3.89634
-19.4678,6.44906,25.159,3.90119
-19.4328,6.44513,25.175,3.90605
-19.3978,6.44119,25.1909,3.9109
-19.3628,6.43726,25.2067,3.91576
-19.3278,6.43333,25.2226,3.92061
-19.2929,6.42939,25.2384,3.92547
-19.2579,6.42546,25.2541,3.93032
-19.2229,6.42154,25.2699,3.93518
-19.1879,6.41761,25.2856,3.94003
-19.1529,6.41368,25.3013,3.94489
-19.1179,6.40976,25.3169,3.94974
-19.083,6.40583,25.3325,3.9546
-19.048,6.40191,25.3481,3.95945
-19.013,6.39799,25.3636,3.96431
-18.978,6.39407,25.3791,3.96916
-18.943,6.39015,25.3946,3.97402
-18.908,6.38623,25.41,3.97887
-18.8731,6.38232,25.4254,3.98373
-18.8381,6.3784,25.4408,3.98858
-18.8031,6.37449,25.4561,3.99344
-18.7681,6.37057,25.4714,3.99829
-18.7331,6.36666,25.4867,4.00315
-18.6982,6.36275,25.5019,4.008
-18.6632,6.35884,25.5171,4.01286
-18.6282,6.35493,25.5323,4.01771
-18.5932,6.35103,25.5474,4.02257
-18.5582,6.34712,25.5625,4.02742
-18.5232,6.34321,25.5776,4.03228
-18.4883,6.33931,25.5926,4.03713
-18.4533,6.33541,25.6077,4.04199
-18.4183,6.33151,25.6226,4.04684
-18.3833,6.32761,25.6376,4.0517
-18.3483,6.32371,25.6525,4.05655
-18.3133,6.31981,25.6673,4.06141
-18.2784,6.31592,25.6822,4.06626
-18.2434,6.31202,25.697,4.07112
-18.2084,6.30813,25.7118,4.07597
-18.1734,6.30423,25.7265,4.08083
-18.1384,6.30034,25.7412,4.08568
-18.1034,6.29645,25.7559,4.09054
-18.0685,6.29256,25.7705,4.09539
-18.0335,6.28868,25.7851,4.10025
-17.9985,6.28479,25.7997,4.1051
-17.9635,6.2809,25.8143,4.10996
-17.9285,6.27702,25.8288,4.11481
-17.8936,6.27314,25.8432,4.11967
-17.8586,6.26926,25.8577,4.12452
-17.8236,6.26537,25.8721,4.12938
-17.7886,6.26149,25.8865,4.13423
-17.7536,6.25762,25.9008,4.13909
-17.7186,6.25374,25.9152,4.14394
-17.6837,6.24986,25.9294,4.1488
-17.6487,6.24599,25.9437,4.15365
-17.6137,6.24212,25.9579,4.15851
-17.5787,6.23824,25.9721,4.16336
-17.5437,6.23437,25.9862,4.16822
-17.5087,6.2305,26.0004,4.17307
-17.4738,6.22663,26.0144,4.17793
-17.4388,6.22277,26.0285,4.18278
-17.4038,6.2189,26.0425,4.18764
-17.3688,6.21504,26.0565,4.19249
-17.3338,6.21117,26.0705,4.19735
-17.2989,6.20731,26.0844,4.20221
-17.2639,6.20345,26.0983,4.20706
-17.2289,6.19959,26.1121,4.21192
-17.1939,6.19573,26.126,4.21677
-17.1589,6.19187,26.1398,4.22163
-17.1239,6.18801,26.1535,4.22648
-17.089,6.18416,26.1673,4.23134
-17.054,6.1803,26.1809,4.23619
-17.019,6.17645,26.1946,4.24105
-16.984,6.1726,26.2082,4.2459
-16.949,6.16875,26.2218,4.25076
-16.914,6.1649,26.2354,4.25561
-16.8791,6.16105,26.249,4.26047
-16.8441,6.1572,26.2625,4.26532
-16.8091,6.15336,26.2759,4.27018
-16.7741,6.14951,26.2894,4.27503
-16.7391,6.14567,26.3028,4.27989
-16.7041,6.14183,26.3161,4.28474
-16.6692,6.13799,26.3295,4.2896
-16.6342,6.13415,26.3428,4.29445
-16.5992,6.13031,26.3561,4.29931
-16.5642,6.12647,26.3693,4.30416
-16.5292,6.12264,26.3825,4.30902
-16.4943,6.1188,26.3957,4.31387
-16.4593,6.11497,26.4089,4.31873
-16.4243,6.11114,26.422,4.32358
-16.3893,6.1073,26.4351,4.32844
-16.3543,6.10347,26.4481,4.33329
-16.3193,6.09964,26.4612,4.33815
-16.2844,6.09582,26.4741,4.343
-16.2494,6.09199,26.4871,4.34786
-16.2144,6.08816,26.5,4.35271
-16.1794,6.08434,26.5129,4.35757
-16.1444,6.08052,26.5258,4.36242
-16.1094,6.0767,26.5386,4.36728
-16.0745,6.07288,26.5514,4.37213
-16.0395,6.06906,26.5642,4.37699
-16.0045,6.06524,26.5769,4.38184
-15.9695,6.06142,26.5896,4.3867
-15.9345,6.05761,26.6023,4.39155
-15.8996,6.05379,26.6149,4.39641
-15.8646,6.04998,26.6275,4.40126
-15.8296,6.04617,26.6401,4.40612
-15.7946,6.04235,26.6527,4.41097
-15.7596,6.03854,26.6652,4.41583
-15.7246,6.03474,26.6777,4.42068
-15.6897,6.03093,26.6901,4.42554
-15.6547,6.02712,26.7025,4.43039
-15.6197,6.02332,26.7149,4.43525
-15.5847,6.01951,26.7273,4.4401
-15.5497,6.01571,26.7396,4.44496
-15.5147,6.01191,26.7519,4.44981
-15.4798,6.00811,26.7641,4.45467
-15.4448,6.00431,26.7764,4.45952
-15.4098,6.00051,26.7886,4.46438
-15.3748,5.99672,26.8007,4.46923
-15.3398,5.99292,26.8129,4.47409
-15.3048,5.98913,26.825,4.47894
-15.2699,5.98533,26.837,4.4838
-15.2349,5.98154,26.8491,4.48865
-15.1999,5.97775,26.8611,4.49351
-15.1649,5.97396,26.8731,4.49836
-15.1299,5.97017,26.885,4.50322
-15.095,5.96639,26.8969,4.50807
-15.06,5.9626,26.9088,4.51293
-15.025,5.95882,26.9207,4.51778
-14.99,5.95503,26.9325,4.52264
-14.955,5.95125,26.9443,4.52749
-14.92,5.94747,26.956,4.53235
-14.8851,5.94369,26.9677,4.5372
-14.8501,5.93991,26.9794,4.54206
-14.8151,5.93614,26.9911,4.54691
-14.7801,5.93236,27.0027,4.55177
-14.7451,5.92859,27.0143,4.55662
-14.7101,5.92481,27.0259,4.56148
-14.6752,5.92104,27.0374,4.56633
-14.6402,5.91727,27.049,4.57119
-14.6052,5.9135,27.0604,4.57604
-14.5702,5.90973,27.0719,4.5809
-14.5352,5.90596,27.0833,4.58575
-14.5002,5.90219,27.0947,4.59061
-14.4653,5.89843,27.106,4.59546
-14.4303,5.89467,27.1173,4.60032
-14.3953,5.8909,27.1286,4.60517
-14.3603,5.88714,27.1399,4.61003
-14.3253,5.88338,27.1511,4.61488
-14.2904,5.87962,27.1623,4.61974
-14.2554,5.87586,27.1735,4.62459
-14.2204,5.87211,27.1846,4.62945
-14.1854,5.86835,27.1957,4.6343
-14.1504,5.8646,27.2068,4.63916
-14.1154,5.86084,27.2178,4.64402
-14.0805,5.85709,27.2289,4.64887
-14.0455,5.85334,27.2398,4.65373
-14.0105,5.84959,27.2508,4.65858
-13.9755,5.84584,27.2617,4.66344
-13.9405,5.84209,27.2726,4.66829
-13.9055,5.83835,27.2835,4.67315
-13.8706,5.8346,27.2943,4.678
-13.8356,5.83086,27.3051,4.68286
-13.8006,5.82712,27.3158,4.68771
-13.7656,5.82338,27.3266,4.69257
-13.7306,5.81964,27.3373,4.69742
-13.6957,5.8159,27.348,4.70228
-13.6607,5.81216,27.3586,4.70713
-13.6257,5.80842,27.3692,4.71199
-13.5907,5.80469,27.3798,4.71684
-13.5557,5.80095,27.3903,4.7217
-13.5207,5.79722,27.4009,4.72655
-13.4858,5.79349,27.4114,4.73141
-13.4508,5.78976,27.4218,4.73626
-13.4158,5.78603,27.4322,4.74112
-13.3808,5.7823,27.4426,4.74597
-13.3458,5.77857,27.453,4.75083
-13.3108,5.77485,27.4633,4.75568
-13.2759,5.77112,27.4736,4.76054
-13.2409,5.7674,27.4839,4.76539
-13.2059,5.76368,27.4942,4.77025
-13.1709,5.75996,27.5044,4.7751
-13.1359,5.75624,27.5146,4.77996
-13.1009,5.75252,27.5247,4.78481
-13.066,5.7488,27.5349,4.78967
-13.031,5.74509,27.5449,4.79452
-12.996,5.74137,27.555,4.79938
-12.961,5.73766,27.565,4.80423
-12.926,5.73395,27.575,4.80909
-12.8911,5.73024,27.585,4.81394
-12.8561,5.72653,27.595,4.8188
-12.8211,5.72282,27.6049,4.82365
-12.7861,5.71911,27.6148,4.82851
-12.7511,5.7154,27.6246,4.83336
-12.7161,5.7117,27.6344,4.83822
-12.6812,5.70799,27.6442,4.84307
-12.6462,5.70429,27.654,4.84793
-12.6112,5.70059,27.6637,4.85278
-12.5762,5.69689,27.6734,4.85764
-12.5412,5.69319,27.6831,4.86249
-12.5062,5.68949,27.6927,4.86735
-12.4713,5.68579,27.7023,4.8722
-12.4363,5.6821,27.7119,4.87706
-12.4013,5.6784,27.7215,4.88191
-12.3663,5.67471,27.731,4.88677
-12.3313,5.67102,27.7405,4.89162
-12.2964,5.66733,27.7499,4.89648
-12.2614,5.66364,27.7594,4.90133
-12.2264,5.65995,27.7688,4.90619
-12.1914,5.65626,27.7782,4.91104
-12.1564,5.65258,27.7875,4.9159
-12.1214,5.64889,27.7968,4.92075
-12.0865,5.64521,27.8061,4.92561
-12.0515,5.64153,27.8153,4.93046
-12.0165,5.63785,27.8246,4.93532
-11.9815,5.63417,27.8338,4.94017
-11.9465,5.63049,27.8429,4.94503
-11.9115,5.62681,27.852,4.94988
-11.8766,5.62313,27.8612,4.95474
-11.8416,5.61946,27.8702,4.95959
-11.8066,5.61578,27.8793,4.96445
-11.7716,5.61211,27.8883,4.9693
-11.7366,5.60844,27.8973,4.97416
-11.7016,5.60477,27.9062,4.97901
-11.6667,5.6011,27.9151,4.98387
-11.6317,5.59743,27.924,4.98872
-11.5967,5.59376,27.9329,4.99358
-11.5617,5.5901,27.9417,4.99843
-11.5267,5.58643,27.9505,5.00329
-11.4918,5.58277,27.9593,5.00814
-11.4568,5.57911,27.9681,5.013
-11.4218,5.57545,27.9768,5.01785
-11.3868,5.57179,27.9855,5.02271
-11.3518,5.56813,27.9941,5.02756
-11.3168,5.56447,28.0028,5.03242
-11.2819,5.56082,28.0114,5.03727
-11.2469,5.55716,28.0199,5.04213
-11.2119,5.55351,28.0285,5.04698
-11.1769,5.54986,28.037,5.05184
-11.1419,5.54621,28.0455,5.05669
-11.1069,5.54256,28.0539,5.06155
-11.072,5.53891,28.0623,5.0664
-11.037,5.53526,28.0707,5.07126
-11.002,5.53161,28.0791,5.07611
-10.967,5.52797,28.0874,5.08097
-10.932,5.52432,28.0957,5.08583
-10.8971,5.52068,28.104,5.09068
-10.8621,5.51704,28.1123,5.09554
-10.8271,5.5134,28.1205,5.10039
-10.7921,5.50976,28.1287,5.10525
-10.7571,5.50612,28.1368,5.1101
-10.7221,5.50249,28.145,5.11496
-10.6872,5.49885,28.1531,5.11981
-10.6522,5.49522,28.1611,5.12467
-10.6172,5.49158,28.1692,5.12952
-10.5822,5.48795,28.1772,5.13438
-10.5472,5.48432,28.1852,5.13923
-10.5122,5.48069,28.1931,5.14409
-10.4773,5.47706,28.2011,5.14894
-10.4423,5.47344,28.209,5.1538
-10.4073,5.46981,28.2168,5.15865
-10.3723,5.46618,28.2247,5.16351
-10.3373,5.46256,28.2325,5.16836
-10.3023,5.45894,28.2403,5.17322
-10.2674,5.45532,28.248,5.17807
-10.2324,5.4517,28.2557,5.18293
-10.1974,5.44808,28.2634,5.18778
-10.1624,5.44446,28.2711,5.19264
-10.1274,5.44085,28.2787,5.19749
-10.0925,5.43723,28.2864,5.20235
-10.0575,5.43362,28.2939,5.2072
-10.0225,5.43,28.3015,5.21206
-9.98751,5.42639,28.309,5.21691
-9.95252,5.42278,28.3165,5.22177
-9.91754,5.41917,28.324,5.22662
-9.88256,5.41557,28.3314,5.23148
-9.84758,5.41196,28.3388,5.23633
-9.81259,5.40835,28.3462,5.24119
-9.77761,5.40475,28.3535,5.24604
-9.74263,5.40115,28.3609,5.2509
-9.70765,5.39754,28.3682,5.25575
-9.67266,5.39394,28.3754,5.26061
-9.63768,5.39034,28.3826,5.26546
-9.6027,5.38675,28.3899,5.27032
-9.56772,5.38315,28.397,5.27517
-9.53273,5.37955,28.4042,5.28003
-9.49775,5.37596,28.4113,5.28488
-9.46277,5.37236,28.4184,5.28974
-9.42779,5.36877,28.4255,5.29459
-9.3928,5.36518,28.4325,5.29945
-9.35782,5.36159,28.4395,5.3043
-9.32284,5.358,28.4465,5.30916
-9.28786,5.35441,28.4534,5.31401
-9.25287,5.35083,28.4603,5.31887
-9.21789,5.34724,28.4672,5.32372
-9.18291,5.34366,28.4741,5.32858
-9.14793,5.34008,28.4809,5.33343
-9.11294,5.3365,28.4877,5.33829
-9.07796,5.33292,28.4945,5.34314
