Position,Hauteur,Debit,Vitesse
-19.965,7.98815,16.8105,2.10443
-19.8951,7.97394,16.9062,2.12018
-19.8252,7.95974,17.0015,2.13594
-19.7552,7.94555,17.0964,2.1517
-19.6853,7.93138,17.1909,2.16745
-19.6154,7.91722,17.285,2.18321
-19.5455,7.90307,17.3786,2.19897
-19.4755,7.88893,17.4718,2.21472
-19.4056,7.87481,17.5646,2.23048
-19.3357,7.8607,17.657,2.24624
-19.2657,7.8466,17.749,2.262
-19.1958,7.83251,17.8405,2.27775
-19.1259,7.81844,17.9317,2.29351
-19.0559,7.80438,18.0224,2.30927
-18.986,7.79033,18.1127,2.32502
-18.9161,7.77629,18.2026,2.34078
-18.8462,7.76227,18.2921,2.35654
-18.7762,7.74826,18.3812,2.37229
-18.7063,7.73427,18.4698,2.38805
-18.6364,7.72028,18.5581,2.40381
-18.5664,7.70631,18.6459,2.41956
-18.4965,7.69235,18.7333,2.43532
-18.4266,7.6784,18.8204,2.45108
-18.3566,7.66447,18.907,2.46684
-18.2867,7.65055,18.9932,2.48259
-18.2168,7.63664,19.079,2.49835
-18.1469,7.62274,19.1644,2.51411
-18.0769,7.60886,19.2494,2.52986
-18.007,7.59499,19.334,2.54562
-17.9371,7.58113,19.4181,2.56138
-17.8671,7.56729,19.5019,2.57713
-17.7972,7.55345,19.5853,2.59289
-17.7273,7.53963,19.6682,2.60865
-17.6573,7.52582,19.7508,2.6244
-17.5874,7.51203,19.833,2.64016
-17.5175,7.49825,19.9147,2.65592
-17.4476,7.48448,19.9961,2.67168
-17.3776,7.47072,20.0771,2.68743
-17.3077,7.45698,20.1576,2.70319
-17.2378,7.44325,20.2378,2.71895
-17.1678,7.42953,20.3176,2.7347
-17.0979,7.41582,20.3969,2.75046
-17.028,7.40213,20.4759,2.76622
-16.958,7.38845,20.5545,2.78197
-16.8881,7.37478,20.6326,2.79773
-16.8182,7.36112,20.7104,2.81349
-16.7483,7.34748,20.7878,2.82924
-16.6783,7.33385,20.8648,2.845
-16.6084,7.32023,20.9414,2.86076
-16.5385,7.30663,21.0176,2.87652
-16.4685,7.29303,21.0934,2.89227
-16.3986,7.27945,21.1689,2.90803
-16.3287,7.26589,21.2439,2.92379
-16.2587,7.25233,21.3185,2.93954
-16.1888,7.23879,21.3928,2.9553
-16.1189,7.22526,21.4667,2.97106
-16.049,7.21175,21.5401,2.98681
-15.979,7.19824,21.6132,3.00257
-15.9091,7.18475,21.6859,3.01833
-15.8392,7.17127,21.7583,3.03408
-15.7692,7.15781,21.8302,3.04984
-15.6993,7.14435,21.9017,3.0656
-15.6294,7.13091,21.9729,3.08136
-15.5594,7.11749,22.0437,3.09711
-15.4895,7.10407,22.114,3.11287
-15.4196,7.09067,22.1841,3.12863
-15.3497,7.07728,22.2537,3.14438
-15.2797,7.0639,22.3229,3.16014
-15.2098,7.05054,22.3918,3.1759
-15.1399,7.03718,22.4603,3.19165
-15.0699,7.02385,22.5284,3.20741
-15,7.01052,22.5961,3.22317
-14.9301,6.99721,22.6634,3.23893
-14.8601,6.9839,22.7304,3.25468
-14.7902,6.97062,22.797,3.27044
-14.7203,6.95734,22.8632,3.2862
-14.6503,6.94408,22.929,3.30195
-14.5804,6.93083,22.9945,3.31771
-14.5105,6.91759,23.0595,3.33347
-14.4406,6.90436,23.1243,3.34922
-14.3706,6.89115,23.1886,3.36498
-14.3007,6.87795,23.2525,3.38074
-14.2308,6.86476,23.3161,3.39649
-14.1608,6.85159,23.3793,3.41225
-14.0909,6.83843,23.4422,3.42801
-14.021,6.82528,23.5046,3.44377
-13.951,6.81214,23.5667,3.45952
-13.8811,6.79901,23.6285,3.47528
-13.8112,6.7859,23.6898,3.49104
-13.7413,6.7728,23.7508,3.50679
-13.6713,6.75972,23.8114,3.52255
-13.6014,6.74664,23.8717,3.53831
-13.5315,6.73358,23.9316,3.55406
-13.4615,6.72054,23.9911,3.56982
-13.3916,6.7075,24.0503,3.58558
-13.3217,6.69448,24.1091,3.60133
-13.2517,6.68147,24.1675,3.61709
-13.1818,6.66847,24.2255,3.63285
-13.1119,6.65548,24.2832,3.64861
-13.042,6.64251,24.3406,3.66436
-12.972,6.62955,24.3975,3.68012
-12.9021,6.61661,24.4542,3.69588
-12.8322,6.60367,24.5104,3.71163
-12.7622,6.59075,24.5663,3.72739
-12.6923,6.57784,24.6218,3.74315
-12.6224,6.56494,24.677,3.7589
-12.5524,6.55206,24.7318,3.77466
-12.4825,6.53919,24.7863,3.79042
-12.4126,6.52633,24.8404,3.80617
-12.3427,6.51349,24.8941,3.82193
-12.2727,6.50065,24.9475,3.83769
-12.2028,6.48783,25.0005,3.85345
-12.1329,6.47503,25.0532,3.8692
-12.0629,6.46223,25.1055,3.88496
-11.993,6.44945,25.1575,3.90072
-11.9231,6.43668,25.2091,3.91647
-11.8531,6.42392,25.2603,3.93223
-11.7832,6.41118,25.3112,3.94799
-11.7133,6.39844,25.3618,3.96374
-11.6434,6.38573,25.412,3.9795
-11.5734,6.37302,25.4619,3.99526
-11.5035,6.36032,25.5114,4.01101
-11.4336,6.34764,25.5605,4.02677
-11.3636,6.33498,25.6093,4.04253
-11.2937,6.32232,25.6578,4.05829
-11.2238,6.30968,25.7059,4.07404
-11.1538,6.29705,25.7537,4.0898
-11.0839,6.28443,25.8011,4.10556
-11.014,6.27182,25.8481,4.12131
-10.9441,6.25923,25.8949,4.13707
-10.8741,6.24665,25.9413,4.15283
-10.8042,6.23408,25.9873,4.16858
-10.7343,6.22153,26.033,4.18434
-10.6643,6.20899,26.0783,4.2001
-10.5944,6.19646,26.1234,4.21585
-10.5245,6.18394,26.168,4.23161
-10.4545,6.17144,26.2124,4.24737
-10.3846,6.15894,26.2564,4.26313
-10.3147,6.14647,26.3,4.27888
-10.2448,6.134,26.3433,4.29464
-10.1748,6.12155,26.3863,4.3104
-10.1049,6.10911,26.4289,4.32615
-10.035,6.09668,26.4712,4.34191
-9.96503,6.08426,26.5132,4.35767
-9.8951,6.07186,26.5548,4.37342
-9.82517,6.05947,26.5961,4.38918
-9.75524,6.04709,26.6371,4.40494
-9.68531,6.03473,26.6777,4.42069
-9.61538,6.02237,26.718,4.43645
-9.54545,6.01003,26.7579,4.45221
-9.47552,5.99771,26.7976,4.46797
-9.40559,5.98539,26.8368,4.48372
-9.33566,5.97309,26.8758,4.49948
-9.26573,5.9608,26.9144,4.51524
-9.1958,5.94853,26.9527,4.53099
-9.12587,5.93626,26.9907,4.54675
-9.05594,5.92401,27.0283,4.56251
-8.98601,5.91177,27.0657,4.57826
-8.91608,5.89955,27.1027,4.59402
-8.84615,5.88734,27.1393,4.60978
-8.77622,5.87514,27.1756,4.62553
-8.70629,5.86295,27.2117,4.64129
-8.63636,5.85077,27.2473,4.65705
-8.56643,5.83861,27.2827,4.67281
-8.4965,5.82646,27.3177,4.68856
-8.42657,5.81432,27.3524,4.70432
-8.35664,5.8022,27.3868,4.72008
-8.28671,5.79009,27.4209,4.73583
-8.21678,5.77799,27.4546,4.75159
-8.14685,5.7659,27.4881,4.76735
-8.07692,5.75383,27.5212,4.7831
-8.00699,5.74177,27.5539,4.79886
-7.93706,5.72972,27.5864,4.81462
-7.86713,5.71768,27.6186,4.83037
-7.7972,5.70566,27.6504,4.84613
-7.72727,5.69365,27.6819,4.86189
-7.65734,5.68165,27.7131,4.87765
-7.58741,5.66967,27.744,4.8934
-7.51748,5.65769,27.7745,4.90916
-7.44755,5.64573,27.8048,4.92492
-7.37762,5.63379,27.8347,4.94067
-7.30769,5.62185,27.8643,4.95643
-7.23776,5.60993,27.8936,4.97219
-7.16783,5.59802,27.9226,4.98794
-7.0979,5.58612,27.9513,5.0037
-7.02797,5.57424,27.9797,5.01946
-6.95804,5.56237,28.0077,5.03522
-6.88811,5.55051,28.0355,5.05097
-6.81818,5.53866,28.0629,5.06673
-6.74825,5.52683,28.09,5.08249
-6.67832,5.51501,28.1169,5.09824
-6.60839,5.5032,28.1434,5.114
-6.53846,5.49141,28.1696,5.12976
-6.46853,5.47962,28.1955,5.14551
-6.3986,5.46785,28.2211,5.16127
-6.32867,5.4561,28.2464,5.17703
-6.25874,5.44435,28.2713,5.19278
-6.18881,5.43262,28.296,5.20854
-6.11888,5.4209,28.3204,5.2243
-6.04895,5.40919,28.3445,5.24006
-5.97902,5.3975,28.3682,5.25581
-5.90909,5.38582,28.3917,5.27157
-5.83916,5.37415,28.4149,5.28733
-5.76923,5.36249,28.4377,5.30308
-5.6993,5.35085,28.4603,5.31884
-5.62937,5.33922,28.4826,5.3346
-5.55944,5.3276,28.5045,5.35035
-5.48951,5.31599,28.5262,5.36611
-5.41958,5.3044,28.5476,5.38187
-5.34965,5.29282,28.5687,5.39762
-5.27972,5.28125,28.5894,5.41338
-5.20979,5.2697,28.6099,5.42914
-5.13986,5.25816,28.6301,5.4449
-5.06993,5.24663,28.65,5.46065
-5,5.23511,28.6696,5.47641
-4.93007,5.22361,28.6889,5.49217
-4.86014,5.21211,28.7079,5.50792
-4.79021,5.20063,28.7266,5.52368
-4.72028,5.18917,28.7451,5.53944
-4.65035,5.17771,28.7632,5.55519
-4.58042,5.16627,28.7811,5.57095
-4.51049,5.15485,28.7986,5.58671
-4.44056,5.14343,28.8159,5.60246
-4.37063,5.13203,28.8329,5.61822
-4.3007,5.12064,28.8496,5.63398
-4.23077,5.10926,28.866,5.64974
-4.16084,5.09789,28.8821,5.66549
-4.09091,5.08654,28.8979,5.68125
-4.02098,5.0752,28.9134,5.69701
-3.95105,5.06387,28.9287,5.71276
-3.88112,5.05256,28.9437,5.72852
-3.81119,5.04126,28.9584,5.74428
-3.74126,5.02997,28.9728,5.76003
-3.67133,5.01869,28.9869,5.77579
-3.6014,5.00743,29.0008,5.79155
-3.53147,4.99618,29.0143,5.8073
-3.46154,4.98494,29.0276,5.82306
-3.39161,4.97371,29.0406,5.83882
-3.32168,4.9625,29.0533,5.85458
-3.25175,4.9513,29.0658,5.87033
-3.18182,4.94011,29.0779,5.88609
-3.11189,4.92893,29.0898,5.90185
-3.04196,4.91777,29.1014,5.9176
-2.97203,4.90662,29.1128,5.93336
-2.9021,4.89548,29.1238,5.94912
-2.83217,4.88436,29.1346,5.96487
-2.76224,4.87325,29.1451,5.98063
-2.69231,4.86215,29.1553,5.99639
-2.62238,4.85106,29.1653,6.01214
-2.55245,4.83999,29.175,6.0279
-2.48252,4.82893,29.1844,6.04366
-2.41259,4.81788,29.1935,6.05942
-2.34266,4.80684,29.2024,6.07517
-2.27273,4.79582,29.211,6.09093
-2.2028,4.78481,29.2193,6.10669
-2.13287,4.77381,29.2274,6.12244
-2.06294,4.76282,29.2352,6.1382
-1.99301,4.75185,29.2427,6.15396
-1.92308,4.74089,29.2499,6.16971
-1.85315,4.72994,29.2569,6.18547
-1.78322,4.71901,29.2636,6.20123
-1.71329,4.70809,29.2701,6.21698
-1.64336,4.69718,29.2763,6.23274
-1.57343,4.68628,29.2822,6.2485
-1.5035,4.6754,29.2879,6.26426
-1.43357,4.66452,29.2933,6.28001
-1.36364,4.65366,29.2984,6.29577
-1.29371,4.64282,29.3033,6.31153
-1.22378,4.63198,29.3079,6.32728
-1.15385,4.62116,29.3122,6.34304
-1.08392,4.61036,29.3163,6.3588
-1.01399,4.59956,29.3201,6.37455
-0.944056,4.58878,29.3237,6.39031
-0.874126,4.57801,29.327,6.40607
-0.804196,4.56725,29.3301,6.42182
-0.734266,4.5565,29.3329,6.43758
-0.664336,4.54577,29.3354,6.45334
-0.594406,4.53505,29.3377,6.4691
-0.524476,4.52434,29.3397,6.48485
-0.454545,4.51365,29.3415,6.50061
-0.384615,4.50297,29.343,6.51637
-0.314685,4.4923,29.3443,6.53212
-0.244755,4.48164,29.3453,6.54788
-0.174825,4.471,29.346,6.56364
-0.104895,4.46037,29.3465,6.57939
-0.034965,4.44975,29.3468,6.59515
0.034965,4.43914,29.3468,6.61091
0.104895,4.42855,29.3465,6.62667
0.174825,4.41797,29.346,6.64242
0.244755,4.4074,29.3453,6.65818
0.314685,4.39685,29.3443,6.67394
0.384615,4.3863,29.343,6.68969
0.454545,4.37577,29.3415,6.70545
0.524476,4.36526,29.3398,6.72121
0.594406,4.35475,29.3378,6.73696
0.664336,4.34426,29.3356,6.75272
0.734266,4.33378,29.3331,6.76848
0.804196,4.32331,29.3304,6.78423
0.874126,4.31286,29.3274,6.79999
0.944056,4.30242,29.3242,6.81575
1.01399,4.29199,29.3208,6.83151
1.08392,4.28157,29.3171,6.84726
1.15385,4.27117,29.3131,6.86302
1.22378,4.26078,29.3089,6.87878
1.29371,4.2504,29.3045,6.89453
1.36364,4.24004,29.2999,6.91029
1.43357,4.22968,29.295,6.92605
1.5035,4.21934,29.2899,6.9418
1.57343,4.20902,29.2845,6.95756
1.64336,4.1987,29.2789,6.97332
1.71329,4.1884,29.273,6.98907
1.78322,4.17811,29.267,7.00483
1.85315,4.16783,29.2606,7.02059
1.92308,4.15757,29.2541,7.03635
1.99301,4.14732,29.2473,7.0521
2.06294,4.13708,29.2403,7.06786
2.13287,4.12685,29.233,7.08362
2.2028,4.11664,29.2255,7.09937
2.27273,4.10644,29.2178,7.11513
2.34266,4.09625,29.2099,7.13089
2.41259,4.08607,29.2017,7.14664
2.48252,4.07591,29.1933,7.1624
2.55245,4.06576,29.1847,7.17816
2.62238,4.05562,29.1758,7.19391
2.69231,4.0455,29.1667,7.20967
2.76224,4.03539,29.1574,7.22543
2.83217,4.02529,29.1478,7.24119
2.9021,4.0152,29.1381,7.25694
2.97203,4.00512,29.1281,7.2727
