Position,Hauteur,Debit,Vitesse
-19.9575,7.05909,22.3478,3.16582
-19.9225,7.05398,22.3741,3.17184
-19.8876,7.04887,22.4004,3.17787
-19.8526,7.04376,22.4266,3.18389
-19.8176,7.03866,22.4527,3.18992
-19.7826,7.03355,22.4788,3.19594
-19.7476,7.02845,22.5049,3.20197
-19.7126,7.02336,22.5309,3.20799
-19.6777,7.01826,22.5568,3.21402
-19.6427,7.01316,22.5827,3.22004
-19.6077,7.00807,22.6085,3.22607
-19.5727,7.00298,22.6343,3.23209
-19.5377,6.99789,22.66,3.23811
-19.5027,6.9928,22.6856,3.24414
-19.4678,6.98772,22.7112,3.25016
-19.4328,6.98263,22.7368,3.25619
-19.3978,6.97755,22.7623,3.26221
-19.3628,6.97247,22.7877,3.26824
-19.3278,6.96739,22.8131,3.27426
-19.2929,6.96231,22.8384,3.28029
-19.2579,6.95724,22.8637,3.28631
-19.2229,6.95217,22.8889,3.29234
-19.1879,6.9471,22.9141,3.29836
-19.1529,6.94203,22.9392,3.30439
-19.1179,6.93696,22.9642,3.31041
-19.083,6.93189,22.9892,3.31644
-19.048,6.92683,23.0141,3.32246
-19.013,6.92177,23.039,3.32849
-18.978,6.91671,23.0639,3.33451
-18.943,6.91165,23.0886,3.34054
-18.908,6.90659,23.1134,3.34656
-18.8731,6.90154,23.138,3.35259
-18.8381,6.89649,23.1626,3.35861
-18.8031,6.89144,23.1872,3.36464
-18.7681,6.88639,23.2117,3.37066
-18.7331,6.88134,23.2361,3.37669
-18.6982,6.8763,23.2605,3.38271
-18.6632,6.87125,23.2849,3.38874
-18.6282,6.86621,23.3092,3.39476
-18.5932,6.86117,23.3334,3.40079
-18.5582,6.85613,23.3576,3.40681
-18.5232,6.8511,23.3817,3.41284
-18.4883,6.84606,23.4057,3.41886
-18.4533,6.84103,23.4298,3.42489
-18.4183,6.836,23.4537,3.43091
-18.3833,6.83097,23.4776,3.43694
-18.3483,6.82595,23.5015,3.44296
-18.3133,6.82092,23.5253,3.44899
-18.2784,6.8159,23.549,3.45501
-18.2434,6.81088,23.5727,3.46104
-18.2084,6.80586,23.5963,3.46706
-18.1734,6.80084,23.6199,3.47309
-18.1384,6.79582,23.6434,3.47911
-18.1034,6.79081,23.6669,3.48514
-18.0685,6.7858,23.6903,3.49116
-18.0335,6.78079,23.7137,3.49719
-17.9985,6.77578,23.737,3.50321
-17.9635,6.77077,23.7602,3.50924
-17.9285,6.76577,23.7834,3.51526
-17.8936,6.76077,23.8066,3.52129
-17.8586,6.75577,23.8297,3.52731
-17.8236,6.75077,23.8527,3.53334
-17.7886,6.74577,23.8757,3.53936
-17.7536,6.74078,23.8986,3.54539
-17.7186,6.73578,23.9215,3.55141
-17.6837,6.73079,23.9444,3.55744
-17.6487,6.7258,23.9671,3.56346
-17.6137,6.72081,23.9898,3.56949
-17.5787,6.71583,24.0125,3.57551
-17.5437,6.71084,24.0351,3.58154
-17.5087,6.70586,24.0577,3.58756
-17.4738,6.70088,24.0802,3.59358
-17.4388,6.6959,24.1026,3.59961
-17.4038,6.69093,24.125,3.60563
-17.3688,6.68595,24.1474,3.61166
-17.3338,6.68098,24.1697,3.61768
-17.2989,6.67601,24.1919,3.62371
-17.2639,6.67104,24.2141,3.62973
-17.2289,6.66607,24.2362,3.63576
-17.1939,6.6611,24.2583,3.64178
-17.1589,6.65614,24.2803,3.64781
-17.1239,6.65118,24.3023,3.65383
-17.089,6.64622,24.3242,3.65986
-17.054,6.64126,24.3461,3.66588
-17.019,6.6363,24.3679,3.67191
-16.984,6.63135,24.3897,3.67793
-16.949,6.6264,24.4114,3.68396
-16.914,6.62145,24.433,3.68998
-16.8791,6.6165,24.4546,3.69601
-16.8441,6.61155,24.4762,3.70203
-16.8091,6.60661,24.4977,3.70806
-16.7741,6.60166,24.5191,3.71408
-16.7391,6.59672,24.5405,3.72011
-16.7041,6.59178,24.5619,3.72613
-16.6692,6.58684,24.5831,3.73216
-16.6342,6.58191,24.6044,3.73818
-16.5992,6.57697,24.6256,3.74421
-16.5642,6.57204,24.6467,3.75023
-16.5292,6.56711,24.6678,3.75626
-16.4943,6.56218,24.6888,3.76228
-16.4593,6.55725,24.7098,3.76831
-16.4243,6.55233,24.7307,3.77433
-16.3893,6.54741,24.7515,3.78036
-16.3543,6.54249,24.7724,3.78638
-16.3193,6.53757,24.7931,3.79241
-16.2844,6.53265,24.8138,3.79843
-16.2494,6.52773,24.8345,3.80446
-16.2144,6.52282,24.8551,3.81048
-16.1794,6.51791,24.8756,3.81651
-16.1444,6.513,24.8961,3.82253
-16.1094,6.50809,24.9166,3.82856
-16.0745,6.50318,24.937,3.83458
-16.0395,6.49828,24.9573,3.84061
-16.0045,6.49338,24.9776,3.84663
-15.9695,6.48847,24.9979,3.85266
-15.9345,6.48358,25.0181,3.85868
-15.8996,6.47868,25.0382,3.86471
-15.8646,6.47378,25.0583,3.87073
-15.8296,6.46889,25.0783,3.87676
-15.7946,6.464,25.0983,3.88278
-15.7596,6.45911,25.1182,3.88881
-15.7246,6.45422,25.1381,3.89483
-15.6897,6.44933,25.1579,3.90086
-15.6547,6.44445,25.1777,3.90688
-15.6197,6.43957,25.1974,3.91291
-15.5847,6.43469,25.2171,3.91893
-15.5497,6.42981,25.2367,3.92496
-15.5147,6.42493,25.2563,3.93098
-15.4798,6.42006,25.2758,3.937
-15.4448,6.41518,25.2953,3.94303
-15.4098,6.41031,25.3147,3.94905
-15.3748,6.40544,25.334,3.95508
-15.3398,6.40058,25.3534,3.9611
-15.3048,6.39571,25.3726,3.96713
-15.2699,6.39085,25.3918,3.97315
-15.2349,6.38598,25.411,3.97918
-15.1999,6.38112,25.4301,3.9852
-15.1649,6.37627,25.4491,3.99123
-15.1299,6.37141,25.4681,3.99725
-15.095,6.36656,25.4871,4.00328
-15.06,6.3617,25.506,4.0093
-15.025,6.35685,25.5248,4.01533
-14.99,6.352,25.5436,4.02135
-14.955,6.34716,25.5624,4.02738
-14.92,6.34231,25.5811,4.0334
-14.8851,6.33747,25.5997,4.03943
-14.8501,6.33262,25.6183,4.04545
-14.8151,6.32779,25.6369,4.05148
-14.7801,6.32295,25.6554,4.0575
-14.7451,6.31811,25.6738,4.06353
-14.7101,6.31328,25.6922,4.06955
-14.6752,6.30844,25.7106,4.07558
-14.6402,6.30361,25.7288,4.0816
-14.6052,6.29879,25.7471,4.08763
-14.5702,6.29396,25.7653,4.09365
-14.5352,6.28913,25.7834,4.09968
-14.5002,6.28431,25.8015,4.1057
-14.4653,6.27949,25.8195,4.11173
-14.4303,6.27467,25.8375,4.11775
-14.3953,6.26985,25.8555,4.12378
-14.3603,6.26504,25.8734,4.1298
-14.3253,6.26022,25.8912,4.13583
-14.2904,6.25541,25.909,4.14185
-14.2554,6.2506,25.9267,4.14788
-14.2204,6.24579,25.9444,4.1539
-14.1854,6.24099,25.962,4.15993
-14.1504,6.23618,25.9796,4.16595
-14.1154,6.23138,25.9972,4.17198
-14.0805,6.22658,26.0146,4.178
-14.0455,6.22178,26.0321,4.18403
-14.0105,6.21698,26.0495,4.19005
-13.9755,6.21219,26.0668,4.19608
-13.9405,6.20739,26.0841,4.2021
-13.9055,6.2026,26.1013,4.20813
-13.8706,6.19781,26.1185,4.21415
-13.8356,6.19302,26.1356,4.22018
-13.8006,6.18824,26.1527,4.2262
-13.7656,6.18345,26.1698,4.23223
-13.7306,6.17867,26.1868,4.23825
-13.6957,6.17389,26.2037,4.24428
-13.6607,6.16911,26.2206,4.2503
-13.6257,6.16433,26.2374,4.25633
-13.5907,6.15956,26.2542,4.26235
-13.5557,6.15479,26.2709,4.26838
-13.5207,6.15001,26.2876,4.2744
-13.4858,6.14524,26.3043,4.28043
-13.4508,6.14048,26.3208,4.28645
-13.4158,6.13571,26.3374,4.29247
-13.3808,6.13095,26.3539,4.2985
-13.3458,6.12619,26.3703,4.30452
-13.3108,6.12142,26.3867,4.31055
-13.2759,6.11667,26.403,4.31657
-13.2409,6.11191,26.4193,4.3226
-13.2059,6.10716,26.4356,4.32862
-13.1709,6.1024,26.4518,4.33465
-13.1359,6.09765,26.4679,4.34067
-13.1009,6.0929,26.484,4.3467
-13.066,6.08816,26.5001,4.35272
-13.031,6.08341,26.5161,4.35875
-12.996,6.07867,26.532,4.36477
-12.961,6.07392,26.5479,4.3708
-12.926,6.06918,26.5638,4.37682
-12.8911,6.06445,26.5796,4.38285
-12.8561,6.05971,26.5953,4.38887
-12.8211,6.05498,26.611,4.3949
-12.7861,6.05024,26.6267,4.40092
-12.7511,6.04551,26.6423,4.40695
-12.7161,6.04078,26.6578,4.41297
-12.6812,6.03606,26.6733,4.419
-12.6462,6.03133,26.6888,4.42502
-12.6112,6.02661,26.7042,4.43105
-12.5762,6.02189,26.7196,4.43707
-12.5412,6.01717,26.7349,4.4431
-12.5062,6.01245,26.7501,4.44912
-12.4713,6.00773,26.7653,4.45515
-12.4363,6.00302,26.7805,4.46117
-12.4013,5.99831,26.7956,4.4672
-12.3663,5.9936,26.8107,4.47322
-12.3313,5.98889,26.8257,4.47925
-12.2964,5.98418,26.8407,4.48527
-12.2614,5.97948,26.8556,4.4913
-12.2264,5.97478,26.8705,4.49732
-12.1914,5.97007,26.8853,4.50335
-12.1564,5.96538,26.9001,4.50937
-12.1214,5.96068,26.9148,4.5154
-12.0865,5.95598,26.9295,4.52142
-12.0515,5.95129,26.9441,4.52745
-12.0165,5.9466,26.9587,4.53347
-11.9815,5.94191,26.9733,4.5395
-11.9465,5.93722,26.9878,4.54552
-11.9115,5.93253,27.0022,4.55155
-11.8766,5.92785,27.0166,4.55757
-11.8416,5.92317,27.0309,4.5636
-11.8066,5.91849,27.0452,4.56962
-11.7716,5.91381,27.0595,4.57565
-11.7366,5.90913,27.0737,4.58167
-11.7016,5.90445,27.0878,4.5877
-11.6667,5.89978,27.1019,4.59372
-11.6317,5.89511,27.116,4.59975
-11.5967,5.89044,27.13,4.60577
-11.5617,5.88577,27.144,4.6118
-11.5267,5.88111,27.1579,4.61782
-11.4918,5.87644,27.1718,4.62385
-11.4568,5.87178,27.1856,4.62987
-11.4218,5.86712,27.1994,4.6359
-11.3868,5.86246,27.2131,4.64192
-11.3518,5.85781,27.2268,4.64794
-11.3168,5.85315,27.2404,4.65397
-11.2819,5.8485,27.254,4.65999
-11.2469,5.84385,27.2675,4.66602
-11.2119,5.8392,27.281,4.67204
-11.1769,5.83455,27.2944,4.67807
-11.1419,5.8299,27.3078,4.68409
-11.1069,5.82526,27.3212,4.69012
-11.072,5.82062,27.3345,4.69614
-11.037,5.81598,27.3477,4.70217
-11.002,5.81134,27.3609,4.70819
-10.967,5.8067,27.3741,4.71422
-10.932,5.80207,27.3872,4.72024
-10.8971,5.79744,27.4002,4.72627
-10.8621,5.79281,27.4133,4.73229
-10.8271,5.78818,27.4262,4.73832
-10.7921,5.78355,27.4392,4.74434
-10.7571,5.77893,27.452,4.75037
-10.7221,5.7743,27.4649,4.75639
-10.6872,5.76968,27.4776,4.76242
-10.6522,5.76506,27.4904,4.76844
-10.6172,5.76044,27.5031,4.77447
-10.5822,5.75583,27.5157,4.78049
-10.5472,5.75121,27.5283,4.78652
-10.5122,5.7466,27.5408,4.79254
-10.4773,5.74199,27.5533,4.79857
-10.4423,5.73738,27.5658,4.80459
-10.4073,5.73278,27.5782,4.81062
-10.3723,5.72817,27.5906,4.81664
-10.3373,5.72357,27.6029,4.82267
-10.3023,5.71897,27.6151,4.82869
-10.2674,5.71437,27.6274,4.83472
-10.2324,5.70977,27.6395,4.84074
-10.1974,5.70518,27.6517,4.84677
-10.1624,5.70058,27.6637,4.85279
-10.1274,5.69599,27.6758,4.85882
-10.0925,5.6914,27.6878,4.86484
-10.0575,5.68681,27.6997,4.87087
-10.0225,5.68223,27.7116,4.87689
-9.98751,5.67764,27.7234,4.88292
-9.95252,5.67306,27.7352,4.88894
-9.91754,5.66848,27.747,4.89497
