Position,Hauteur,Debit,Vitesse
-19.965,6.4771,25.0447,3.86665
-19.8951,6.46931,25.0766,3.87623
-19.8252,6.46153,25.1083,3.88582
-19.7552,6.45376,25.14,3.8954
-19.6853,6.44599,25.1715,3.90499
-19.6154,6.43822,25.2029,3.91457
-19.5455,6.43046,25.2341,3.92415
-19.4755,6.4227,25.2652,3.93374
-19.4056,6.41495,25.2962,3.94332
-19.3357,6.4072,25.3271,3.95291
-19.2657,6.39945,25.3578,3.96249
-19.1958,6.39172,25.3884,3.97208
-19.1259,6.38398,25.4189,3.98166
-19.0559,6.37625,25.4492,3.99125
-18.986,6.36853,25.4794,4.00083
-18.9161,6.36081,25.5095,4.01042
-18.8462,6.35309,25.5394,4.02
-18.7762,6.34538,25.5693,4.02958
-18.7063,6.33767,25.5989,4.03917
-18.6364,6.32997,25.6285,4.04875
-18.5664,6.32228,25.6579,4.05834
-18.4965,6.31458,25.6872,4.06792
-18.4266,6.3069,25.7164,4.07751
-18.3566,6.29921,25.7455,4.08709
-18.2867,6.29154,25.7744,4.09668
-18.2168,6.28386,25.8032,4.10626
-18.1469,6.27619,25.8318,4.11585
-18.0769,6.26853,25.8604,4.12543
-18.007,6.26087,25.8888,4.13501
-17.9371,6.25322,25.9171,4.1446
-17.8671,6.24557,25.9452,4.15418
-17.7972,6.23792,25.9733,4.16377
-17.7273,6.23028,26.0012,4.17335
-17.6573,6.22265,26.0289,4.18294
-17.5874,6.21501,26.0566,4.19252
-17.5175,6.20739,26.0841,4.20211
-17.4476,6.19977,26.1115,4.21169
-17.3776,6.19215,26.1388,4.22128
-17.3077,6.18454,26.1659,4.23086
-17.2378,6.17693,26.1929,4.24044
-17.1678,6.16933,26.2198,4.25003
-17.0979,6.16173,26.2466,4.25961
-17.028,6.15413,26.2732,4.2692
-16.958,6.14654,26.2997,4.27878
-16.8881,6.13896,26.3261,4.28837
-16.8182,6.13138,26.3524,4.29795
-16.7483,6.12381,26.3785,4.30754
-16.6783,6.11624,26.4045,4.31712
-16.6084,6.10867,26.4304,4.3267
-16.5385,6.10111,26.4562,4.33629
-16.4685,6.09355,26.4818,4.34587
-16.3986,6.086,26.5073,4.35546
-16.3287,6.07845,26.5327,4.36504
-16.2587,6.07091,26.558,4.37463
-16.1888,6.06337,26.5831,4.38421
-16.1189,6.05584,26.6081,4.3938
-16.049,6.04831,26.633,4.40338
-15.979,6.04079,26.6578,4.41297
-15.9091,6.03327,26.6824,4.42255
-15.8392,6.02576,26.707,4.43213
-15.7692,6.01825,26.7314,4.44172
-15.6993,6.01074,26.7556,4.4513
-15.6294,6.00324,26.7798,4.46089
-15.5594,5.99575,26.8038,4.47047
-15.4895,5.98826,26.8277,4.48006
-15.4196,5.98077,26.8515,4.48964
-15.3497,5.97329,26.8752,4.49923
-15.2797,5.96581,26.8987,4.50881
-15.2098,5.95834,26.9221,4.5184
-15.1399,5.95087,26.9454,4.52798
-15.0699,5.94341,26.9686,4.53756
-15,5.93595,26.9917,4.54715
-14.9301,5.9285,27.0146,4.55673
-14.8601,5.92105,27.0374,4.56632
-14.7902,5.91361,27.0601,4.5759
-14.7203,5.90617,27.0827,4.58549
-14.6503,5.89873,27.1051,4.59507
-14.5804,5.8913,27.1274,4.60466
-14.5105,5.88388,27.1496,4.61424
-14.4406,5.87646,27.1717,4.62383
-14.3706,5.86904,27.1937,4.63341
-14.3007,5.86163,27.2155,4.64299
-14.2308,5.85423,27.2372,4.65258
-14.1608,5.84682,27.2588,4.66216
-14.0909,5.83943,27.2803,4.67175
-14.021,5.83203,27.3017,4.68133
-13.951,5.82465,27.3229,4.69092
-13.8811,5.81726,27.3441,4.7005
-13.8112,5.80989,27.3651,4.71009
-13.7413,5.80251,27.3859,4.71967
-13.6713,5.79514,27.4067,4.72925
-13.6014,5.78778,27.4274,4.73884
-13.5315,5.78042,27.4479,4.74842
-13.4615,5.77306,27.4683,4.75801
-13.3916,5.76571,27.4886,4.76759
-13.3217,5.75837,27.5087,4.77718
-13.2517,5.75103,27.5288,4.78676
-13.1818,5.74369,27.5487,4.79635
-13.1119,5.73636,27.5685,4.80593
-13.042,5.72903,27.5882,4.81552
-12.972,5.72171,27.6078,4.8251
-12.9021,5.71439,27.6273,4.83468
-12.8322,5.70708,27.6466,4.84427
-12.7622,5.69977,27.6659,4.85385
-12.6923,5.69247,27.685,4.86344
-12.6224,5.68517,27.704,4.87302
-12.5524,5.67788,27.7228,4.88261
-12.4825,5.67059,27.7416,4.89219
-12.4126,5.6633,27.7602,4.90178
-12.3427,5.65602,27.7788,4.91136
-12.2727,5.64875,27.7972,4.92095
-12.2028,5.64148,27.8155,4.93053
-12.1329,5.63421,27.8336,4.94011
-12.0629,5.62695,27.8517,4.9497
-11.993,5.61969,27.8696,4.95928
-11.9231,5.61244,27.8875,4.96887
-11.8531,5.60519,27.9052,4.97845
-11.7832,5.59795,27.9228,4.98804
-11.7133,5.59071,27.9403,4.99762
-11.6434,5.58348,27.9576,5.00721
-11.5734,5.57625,27.9749,5.01679
-11.5035,5.56903,27.992,5.02638
-11.4336,5.56181,28.009,5.03596
-11.3636,5.55459,28.0259,5.04554
-11.2937,5.54738,28.0427,5.05513
-11.2238,5.54018,28.0594,5.06471
-11.1538,5.53298,28.076,5.0743
-11.0839,5.52578,28.0924,5.08388
-11.014,5.51859,28.1088,5.09347
-10.9441,5.51141,28.125,5.10305
-10.8741,5.50422,28.1411,5.11264
-10.8042,5.49705,28.1571,5.12222
-10.7343,5.48987,28.173,5.13181
-10.6643,5.48271,28.1887,5.14139
-10.5944,5.47554,28.2044,5.15097
-10.5245,5.46839,28.2199,5.16056
-10.4545,5.46123,28.2353,5.17014
-10.3846,5.45408,28.2507,5.17973
-10.3147,5.44694,28.2659,5.18931
-10.2448,5.4398,28.281,5.1989
-10.1748,5.43266,28.2959,5.20848
-10.1049,5.42553,28.3108,5.21807
