Position,Hauteur,Debit,Vitesse
-19.9575,7.50372,19.4874,2.59703
-19.9225,7.49902,19.5154,2.60239
-19.8876,7.48733,19.5852,2.61577
-19.8526,7.4809,19.6234,2.62314
-19.8176,7.47363,19.6666,2.63146
-19.7826,7.46706,19.7055,2.63899
-19.7476,7.46031,19.7455,2.64673
-19.7126,7.45367,19.7847,2.65436
-19.6777,7.44697,19.8242,2.66204
-19.6427,7.44028,19.8635,2.66972
-19.6077,7.43358,19.9028,2.67742
-19.5727,7.42687,19.9421,2.68513
-19.5377,7.42016,19.9814,2.69285
-19.5027,7.41345,20.0206,2.70057
-19.4678,7.40673,20.0597,2.7083
-19.4328,7.40001,20.0987,2.71604
-19.3978,7.39329,20.1377,2.72378
-19.3628,7.38657,20.1766,2.73153
-19.3278,7.37984,20.2155,2.73928
-19.2929,7.37311,20.2543,2.74704
-19.2579,7.36638,20.293,2.75481
-19.2229,7.35965,20.3317,2.76259
-19.1879,7.35292,20.3702,2.77036
-19.1529,7.34619,20.4087,2.77813
-19.1179,7.33948,20.447,2.7859
-19.083,7.33277,20.4852,2.79365
-19.048,7.32609,20.5232,2.80139
-19.013,7.31941,20.5611,2.80912
-18.978,7.31275,20.5988,2.81683
-18.943,7.3061,20.6364,2.82454
-18.908,7.29945,20.6739,2.83225
-18.8731,7.29279,20.7113,2.83997
-18.8381,7.28612,20.7488,2.84771
-18.8031,7.27944,20.7862,2.85547
-18.7681,7.27274,20.8237,2.86325
-18.7331,7.26603,20.8611,2.87105
-18.6982,7.25931,20.8985,2.87886
-18.6632,7.2526,20.9358,2.88667
-18.6282,7.2459,20.973,2.89447
-18.5932,7.23921,21.01,2.90225
-18.5582,7.23254,21.0468,2.91002
-18.5232,7.22589,21.0835,2.91777
-18.4883,7.21926,21.1199,2.9255
-18.4533,7.21263,21.1563,2.93323
-18.4183,7.20601,21.1925,2.94095
-18.3833,7.19939,21.2287,2.94868
-18.3483,7.19277,21.2648,2.95641
-18.3133,7.18613,21.3009,2.96417
-18.2784,7.17949,21.337,2.97193
-18.2434,7.17284,21.373,2.97971
-18.2084,7.16619,21.4089,2.98749
-18.1734,7.15954,21.4448,2.99527
-18.1384,7.1529,21.4805,3.00305
-18.1034,7.14627,21.5161,3.01081
-18.0685,7.13966,21.5515,3.01857
-18.0335,7.13306,21.5868,3.02631
-17.9985,7.12648,21.6219,3.03403
-17.9635,7.11992,21.6569,3.04174
-17.9285,7.11336,21.6917,3.04943
-17.8936,7.10682,21.7264,3.05711
-17.8586,7.10029,21.7609,3.06479
-17.8236,7.09377,21.7953,3.07246
-17.7886,7.08726,21.8297,3.08013
-17.7536,7.08074,21.8639,3.08779
-17.7186,7.07423,21.898,3.09546
-17.6837,7.06772,21.9321,3.10313
-17.6487,7.06121,21.9661,3.1108
-17.6137,7.0547,22,3.11849
-17.5787,7.04819,22.0338,3.12617
-17.5437,7.04167,22.0676,3.13387
-17.5087,7.03514,22.1014,3.14157
-17.4738,7.02861,22.1351,3.14929
-17.4388,7.02207,22.1688,3.15702
-17.4038,7.01551,22.2025,3.16477
