Position,Hauteur,Debit,Vitesse
-19.9956,6.96941,22.8003,3.27148
-19.9869,6.96867,22.804,3.27236
-19.9781,6.96764,22.8092,3.27359
-19.9694,6.96649,22.8149,3.27495
-19.9606,6.96529,22.8209,3.27637
-19.9519,6.96408,22.8269,3.27781
-19.9431,6.96286,22.833,3.27926
-19.9344,6.96164,22.8391,3.28071
-19.9256,6.96041,22.8452,3.28216
-19.9169,6.95919,22.8513,3.28361
-19.9081,6.95796,22.8574,3.28507
-19.8994,6.95674,22.8635,3.28652
-19.8906,6.95551,22.8696,3.28797
-19.8819,6.95429,22.8756,3.28943
-19.8731,6.95307,22.8817,3.29088
-19.8644,6.95184,22.8878,3.29234
-19.8556,6.95062,22.8939,3.29379
-19.8469,6.9494,22.8999,3.29524
-19.8381,6.94817,22.906,3.2967
-19.8294,6.94695,22.9121,3.29815
-19.8206,6.94573,22.9181,3.2996
-19.8119,6.9445,22.9242,3.30106
-19.8031,6.94328,22.9303,3.30251
-19.7944,6.94206,22.9363,3.30396
-19.7857,6.94083,22.9424,3.30542
-19.7769,6.93961,22.9484,3.30687
-19.7682,6.93839,22.9544,3.30832
-19.7594,6.93717,22.9605,3.30978
-19.7507,6.93594,22.9665,3.31123
-19.7419,6.93472,22.9725,3.31269
-19.7332,6.9335,22.9786,3.31414
-19.7244,6.93228,22.9846,3.31559
-19.7157,6.93105,22.9906,3.31705
-19.7069,6.92983,22.9966,3.3185
-19.6982,6.92861,23.0027,3.31995
-19.6894,6.92739,23.0087,3.32141
-19.6807,6.92617,23.0147,3.32286
-19.6719,6.92495,23.0207,3.32431
-19.6632,6.92372,23.0267,3.32577
-19.6544,6.9225,23.0327,3.32722
-19.6457,6.92128,23.0387,3.32868
-19.6369,6.92006,23.0447,3.33013
-19.6282,6.91884,23.0507,3.33158
-19.6194,6.91762,23.0567,3.33304
-19.6107,6.9164,23.0627,3.33449
-19.6019,6.91518,23.0686,3.33594
-19.5932,6.91396,23.0746,3.3374
-19.5844,6.91274,23.0806,3.33885
-19.5757,6.91152,23.0866,3.3403
-19.5669,6.9103,23.0925,3.34176
-19.5582,6.90908,23.0985,3.34321
-19.5494,6.90786,23.1045,3.34466
-19.5407,6.90664,23.1104,3.34612
-19.5319,6.90542,23.1164,3.34757
-19.5232,6.9042,23.1223,3.34903
-19.5144,6.90298,23.1283,3.35048
-19.5057,6.90176,23.1342,3.35193
-19.4969,6.90054,23.1402,3.35339
-19.4882,6.89932,23.1461,3.35484
-19.4794,6.8981,23.1521,3.35629
-19.4707,6.89688,23.158,3.35775
-19.4619,6.89566,23.1639,3.3592
-19.4532,6.89444,23.1698,3.36065
-19.4444,6.89323,23.1758,3.36211
-19.4357,6.89201,23.1817,3.36356
-19.4269,6.89079,23.1876,3.36502
-19.4182,6.88957,23.1935,3.36647
-19.4094,6.88835,23.1994,3.36792
-19.4007,6.88713,23.2053,3.36938
-19.392,6.88592,23.2112,3.37083
-19.3832,6.8847,23.2172,3.37228
-19.3745,6.88348,23.223,3.37374
-19.3657,6.88226,23.2289,3.37519
-19.357,6.88104,23.2348,3.37664
-19.3482,6.87983,23.2407,3.3781
-19.3395,6.87861,23.2466,3.37955
-19.3307,6.87739,23.2525,3.381
-19.322,6.87618,23.2584,3.38246
-19.3132,6.87496,23.2643,3.38391
-19.3045,6.87374,23.2701,3.38537
-19.2957,6.87252,23.276,3.38682
-19.287,6.87131,23.2819,3.38827
-19.2782,6.87009,23.2877,3.38973
-19.2695,6.86887,23.2936,3.39118
-19.2607,6.86766,23.2994,3.39263
-19.252,6.86644,23.3053,3.39409
-19.2432,6.86523,23.3112,3.39554
-19.2345,6.86401,23.317,3.39699
-19.2257,6.86279,23.3228,3.39845
-19.217,6.86158,23.3287,3.3999
-19.2082,6.86036,23.3345,3.40136
-19.1995,6.85915,23.3404,3.40281
-19.1907,6.85793,23.3462,3.40426
-19.182,6.85672,23.352,3.40572
-19.1732,6.8555,23.3579,3.40717
-19.1645,6.85428,23.3637,3.40862
-19.1557,6.85307,23.3695,3.41008
-19.147,6.85185,23.3753,3.41153
-19.1382,6.85064,23.3811,3.41298
-19.1295,6.84942,23.3869,3.41444
-19.1207,6.84821,23.3927,3.41589
-19.112,6.847,23.3985,3.41735
-19.1032,6.84578,23.4043,3.4188
-19.0945,6.84457,23.4101,3.42025
-19.0857,6.84335,23.4159,3.42171
-19.077,6.84214,23.4217,3.42316
-19.0682,6.84092,23.4275,3.42461
-19.0595,6.83971,23.4333,3.42607
-19.0507,6.8385,23.4391,3.42752
-19.042,6.83728,23.4449,3.42897
-19.0332,6.83607,23.4506,3.43043
-19.0245,6.83486,23.4564,3.43188
-19.0157,6.83364,23.4622,3.43333
-19.007,6.83243,23.4679,3.43479
-18.9983,6.83122,23.4737,3.43624
-18.9895,6.83,23.4795,3.4377
-18.9808,6.82879,23.4852,3.43915
-18.972,6.82758,23.491,3.4406
-18.9633,6.82636,23.4967,3.44206
-18.9545,6.82515,23.5025,3.44351
-18.9458,6.82394,23.5082,3.44496
-18.937,6.82273,23.514,3.44642
