Position,Hauteur,Debit,Vitesse
-19.9575,9.99997,0.000314386,3.14387e-05
-19.9225,9.99996,0.000375387,3.75388e-05
-19.8876,9.99995,0.000447404,4.47406e-05
-19.8526,9.99995,0.000532262,5.32265e-05
-19.8176,9.99994,0.000632053,6.32057e-05
-19.7826,9.99992,0.000749174,7.4918e-05
-19.7476,9.99991,0.000886365,8.86373e-05
-19.7126,9.99989,0.00104675,0.000104676
-19.6777,9.99988,0.00123386,0.000123388
-19.6427,9.99985,0.00145175,0.000145177
-19.6077,9.99983,0.00170494,0.000170497
-19.5727,9.9998,0.00199858,0.000199862
-19.5377,9.99976,0.00233844,0.00023385
-19.5027,9.99972,0.00273102,0.000273109
-19.4678,9.99968,0.00318356,0.000318366
-19.4328,9.99963,0.00370417,0.000370431
-19.3978,9.99957,0.00430188,0.000430206
-19.3628,9.9995,0.00498669,0.000498695
-19.3278,9.99942,0.00576972,0.000577006
-19.2929,9.99933,0.0066632,0.000666365
-19.2579,9.99922,0.00768062,0.000768122
-19.2229,9.99911,0.00883679,0.000883758
-19.1879,9.99898,0.0101479,0.0010149
-19.1529,9.99883,0.0116317,0.00116331
-19.1179,9.99866,0.0133074,0.00133092
-19.083,9.99847,0.0151959,0.00151982
-19.048,9.99825,0.0173197,0.00173228
-19.013,9.99801,0.0197033,0.00197072
-18.978,9.99774,0.0223728,0.00223779
-18.943,9.99744,0.0253563,0.00253628
-18.908,9.9971,0.0286836,0.0028692
-18.8731,9.99673,0.0323868,0.00323974
-18.8381,9.99631,0.0364994,0.00365129
-18.8031,9.99585,0.0410574,0.00410744
-18.7681,9.99534,0.0460982,0.00461196
-18.7331,9.99478,0.0516614,0.00516883
-18.6982,9.99416,0.0577882,0.0057822
-18.6632,9.99348,0.0645217,0.00645638
-18.6282,9.99274,0.0719065,0.00719587
-18.5932,9.99192,0.0799887,0.00800533
-18.5582,9.99103,0.0888158,0.00888955
-18.5232,9.99005,0.0984365,0.00985346
-18.4883,9.989,0.108901,0.0109021
-18.4533,9.98785,0.120259,0.0120405
-18.4183,9.9866,0.132562,0.013274
-18.3833,9.98526,0.145863,0.0146078
-18.3483,9.9838,0.160212,0.0160472
-18.3133,9.98224,0.175661,0.0175974
-18.2784,9.98056,0.192262,0.0192637
