Position,Hauteur,Debit,Vitesse
-19.9575,8.42084,11.2912,1.34087
-19.9225,8.40834,11.3878,1.35435
-19.8876,8.39173,11.5159,1.3723
-19.8526,8.38717,11.5512,1.37725
-19.8176,8.38441,11.5726,1.38025
-19.7826,8.38708,11.5521,1.37737
-19.7476,8.39034,11.527,1.37384
-19.7126,8.38986,11.5308,1.37437
-19.6777,8.38438,11.5732,1.38032
-19.6427,8.35573,11.7927,1.41134
-19.6077,8.3385,11.9241,1.43001
-19.5727,8.32853,12,1.44083
-19.5377,8.3232,12.0406,1.44664
-19.5027,8.32157,12.053,1.4484
-19.4678,8.32143,12.0539,1.44854
-19.4328,8.31446,12.1055,1.45596
-19.3978,8.29369,12.2629,1.47858
-19.3628,8.27648,12.3989,1.49809
-19.3278,8.27054,12.4436,1.50457
-19.2929,8.27003,12.4457,1.50492
-19.2579,8.25682,12.5306,1.51761
-19.2229,8.24322,12.6235,1.53137
-19.1879,8.2372,12.681,1.53948
-19.1529,8.23393,12.7274,1.54573
-19.1179,8.23324,12.7438,1.54784
-19.083,8.23422,12.7499,1.5484
-19.048,8.22367,12.7656,1.5523
-19.013,8.21434,12.8469,1.56396
-18.978,8.20513,12.9013,1.57235
-18.943,8.19173,13.005,1.58758
-18.908,8.18055,13.1199,1.60379
-18.8731,8.16802,13.226,1.61924
-18.8381,8.15323,13.3324,1.63523
-18.8031,8.14032,13.41,1.64735
-18.7681,8.13009,13.4565,1.65515
-18.7331,8.12385,13.4862,1.66007
-18.6982,8.12258,13.516,1.664
-18.6632,8.12316,13.5502,1.66809
-18.6282,8.12227,13.56,1.66948
-18.5932,8.11794,13.5686,1.67144
-18.5582,8.1124,13.5638,1.67198
-18.5232,8.10713,13.6012,1.67768
-18.4883,8.0955,13.7823,1.70246
-18.4533,8.08333,13.8878,1.71807
-18.4183,8.06643,13.9465,1.72896
-18.3833,8.05104,14.0166,1.74096
-18.3483,8.0443,14.1164,1.75483
-18.3133,8.03991,14.2277,1.76963
-18.2784,8.02738,14.2596,1.77637
-18.2434,8.00972,14.2697,1.78155
-18.2084,7.99687,14.2722,1.78473
-18.1734,7.99551,14.359,1.79589
-18.1384,8.003,14.4847,1.8099
-18.1034,8.00471,14.4963,1.81097
-18.0685,8.00417,14.4552,1.80596
-18.0335,7.98798,14.4462,1.80849
-17.9985,7.96902,14.4912,1.81844
-17.9635,7.96013,14.6269,1.83752
-17.9285,7.95441,14.7853,1.85875
-17.8936,7.94642,14.8943,1.87434
-17.8586,7.93472,14.9161,1.87985
