Position,Hauteur,Debit,Vitesse
-19.9575,6.41624,25.276,3.93937
-19.9225,6.41434,25.2835,3.94172
-19.8876,6.40756,25.3105,3.95011
-19.8526,6.40344,25.3269,3.9552
-19.8176,6.3994,25.3429,3.9602
-19.7826,6.39559,25.358,3.96492
-19.7476,6.3918,25.373,3.96962
-19.7126,6.38803,25.3879,3.97429
-19.6777,6.38427,25.4027,3.97895
-19.6427,6.38052,25.4175,3.9836
-19.6077,6.37676,25.4322,3.98826
-19.5727,6.37301,25.4469,3.99291
-19.5377,6.36926,25.4616,3.99757
-19.5027,6.36551,25.4762,4.00222
-19.4678,6.36176,25.4908,4.00688
-19.4328,6.35801,25.5054,4.01154
-19.3978,6.35427,25.5199,4.01619
-19.3628,6.35052,25.5345,4.02085
-19.3278,6.34678,25.549,4.0255
-19.2929,6.34303,25.5634,4.03016
-19.2579,6.33929,25.5778,4.03481
-19.2229,6.33555,25.5922,4.03947
-19.1879,6.33181,25.6066,4.04412
-19.1529,6.32807,25.6209,4.04878
-19.1179,6.32433,25.6352,4.05343
-19.083,6.32059,25.6495,4.05809
-19.048,6.31686,25.6638,4.06274
-19.013,6.31312,25.678,4.0674
-18.978,6.30939,25.6922,4.07205
-18.943,6.30566,25.7063,4.07671
-18.908,6.30193,25.7204,4.08136
-18.8731,6.2982,25.7345,4.08602
-18.8381,6.29447,25.7486,4.09067
-18.8031,6.29074,25.7626,4.09533
-18.7681,6.28701,25.7766,4.09998
-18.7331,6.28329,25.7906,4.10464
-18.6982,6.27956,25.8046,4.10929
-18.6632,6.27584,25.8185,4.11395
-18.6282,6.27212,25.8324,4.1186
-18.5932,6.26839,25.8462,4.12326
-18.5582,6.26467,25.86,4.12791
-18.5232,6.26095,25.8738,4.13257
-18.4883,6.25724,25.8876,4.13722
-18.4533,6.25352,25.9013,4.14188
-18.4183,6.2498,25.915,4.14654
-18.3833,6.24609,25.9287,4.15119
-18.3483,6.24238,25.9423,4.15585
-18.3133,6.23866,25.956,4.1605
-18.2784,6.23495,25.9695,4.16516
-18.2434,6.23124,25.9831,4.16981
-18.2084,6.22753,25.9966,4.17447
-18.1734,6.22382,26.0101,4.17912
-18.1384,6.22012,26.0236,4.18378
-18.1034,6.21641,26.037,4.18843
-18.0685,6.21271,26.0504,4.19309
-18.0335,6.209,26.0638,4.19774
