Position,Hauteur,Debit,Vitesse
-19.9575,7.85932,17.6518,2.24598
-19.9225,7.85424,17.685,2.25165
-19.8876,7.8425,17.7615,2.26477
-19.8526,7.8361,17.8031,2.27193
-19.8176,7.82862,17.8516,2.2803
-19.7826,7.82196,17.8948,2.28776
-19.7476,7.81505,17.9395,2.29551
-19.7126,7.80829,17.9832,2.30309
-19.6777,7.80147,18.0271,2.31073
-19.6427,7.79469,18.0707,2.31834
-19.6077,7.7879,18.1143,2.32596
-19.5727,7.78112,18.1578,2.33357
-19.5377,7.77434,18.2012,2.34119
-19.5027,7.76757,18.2445,2.3488
-19.4678,7.76079,18.2877,2.35642
-19.4328,7.75402,18.3308,2.36404
-19.3978,7.74725,18.3738,2.37165
-19.3628,7.74049,18.4167,2.37927
-19.3278,7.73373,18.4595,2.38689
-19.2929,7.72697,18.5022,2.3945
-19.2579,7.72021,18.5449,2.40212
-19.2229,7.71346,18.5874,2.40974
-19.1879,7.70671,18.6298,2.41735
-19.1529,7.69996,18.6722,2.42497
-19.1179,7.69322,18.7144,2.43259
-19.083,7.68648,18.7566,2.4402
-19.048,7.67974,18.7986,2.44782
-19.013,7.673,18.8406,2.45544
-18.978,7.66627,18.8824,2.46305
-18.943,7.65954,18.9242,2.47067
-18.908,7.65281,18.9658,2.47828
-18.8731,7.64609,19.0074,2.4859
-18.8381,7.63937,19.0489,2.49352
-18.8031,7.63265,19.0903,2.50113
-18.7681,7.62594,19.1316,2.50875
-18.7331,7.61922,19.1728,2.51637
-18.6982,7.61252,19.2139,2.52398
-18.6632,7.60581,19.2549,2.5316
-18.6282,7.59911,19.2958,2.53922
-18.5932,7.59241,19.3366,2.54683
-18.5582,7.58571,19.3773,2.55445
-18.5232,7.57902,19.4179,2.56207
-18.4883,7.57232,19.4585,2.56968
-18.4533,7.56564,19.4989,2.5773
-18.4183,7.55895,19.5393,2.58492
-18.3833,7.55227,19.5795,2.59253
-18.3483,7.54559,19.6197,2.60015
-18.3133,7.53891,19.6597,2.60777
-18.2784,7.53224,19.6997,2.61538
-18.2434,7.52557,19.7396,2.623
-18.2084,7.5189,19.7794,2.63062
-18.1734,7.51224,19.819,2.63823
-18.1384,7.50558,19.8586,2.64585
-18.1034,7.49892,19.8981,2.65347
-18.0685,7.49226,19.9375,2.66108
-18.0335,7.48561,19.9769,2.6687
-17.9985,7.47896,20.0161,2.67632
-17.9635,7.47231,20.0552,2.68394
-17.9285,7.46567,20.0942,2.69155
-17.8936,7.45903,20.1332,2.69917
-17.8586,7.45239,20.172,2.70679
-17.8236,7.44575,20.2108,2.7144
-17.7886,7.43912,20.2494,2.72202
-17.7536,7.43249,20.288,2.72964
-17.7186,7.42587,20.3265,2.73725
-17.6837,7.41924,20.3649,2.74487
