Type,Test,deltax,cfl,erreur_h_L2,erreur_q_L2,erreur_h_L1,erreur_q_L1,erreur_h_L2_mask,erreur_q_L2_mask,erreur_h_L1_mask,erreur_q_L1_mask
Spatial_MUSCL,1a,0.0699301,0.05,0.305477,3.04065,0.282567,1.72293,0.0236377,0.109743,0.0906795,0.583245
Spatial_MUSCL,1b,0.0349825,0.05,0.212063,1.77358,0.143269,0.817251,0.0145751,0.0547125,0.0557314,0.297918
