Type,Test,deltax,cfl,erreur_h_L2,erreur_q_L2,erreur_h_L1,erreur_q_L1
Spatial,1a,0.0699301,0.05,0.264357,0.261348,1.40295,1.92991
Spatial,1b,0.0349825,0.05,0.161912,0.154551,0.802553,1.07895
Temporal,2a,0.0349825,0.05,0.161912,0.154551,0.802553,1.07895
Temporal,2b,0.0349825,0.025,0.161833,0.155107,0.802277,1.08594
