Data info
File name: C:\DEWESoft7\Data\Test_kastor_choco_2.d7d
Start time: 20/01/1980 07:28:21.614
Number of channels: 3
Sample rate: 5000
Store type: Toujours rapide


Data1

Time [s]	AI 0 [V]	AI 1 [V]	AI 2 [V]	
0,0272	0,92775798	1,5825028	1,6183126
0,0274	0,92756605	1,582473	1,6183817
0,0276	0,92735744	1,5822275	1,6185212
0,0278	0,92655993	1,5823562	1,6188025
0,028	0,92569447	1,5828819	1,6189361
0,0282	0,92500067	1,5834219	1,618948
0,0284	0,92423177	1,5837593	1,6187704
0,0286	0,92357016	1,5842004	1,6186368
0,0288	0,92316723	1,58444	1,6186011
0,029	0,92281556	1,5847559	1,6191077
0,0292	0,92264867	1,5851195	1,6198635
0,0294	0,92215633	1,5853162	1,6205573
0,0296	0,92195845	1,5853484	1,6213834
0,0298	0,92162108	1,5852649	1,6220725
0,03	0,92112875	1,5852768	1,6226983
0,0302	0,92100596	1,5853937	1,6234553
0,0304	0,92149115	1,5852625	1,6240704
0,0306	0,92188931	1,5848632	1,6247773
0,0308	0,92200851	1,5845425	1,6252816
0,031	0,9224031	1,5841455	1,6257751
0,0312	0,92298007	1,5837581	1,6263914
0,0314	0,9236834	1,5835006	1,6265202
0,0316	0,92455721	1,5833242	1,6264629
0,0318	0,92540121	1,5829129	1,6261399
0,032	0,92605805	1,5824552	1,6260886
0,0322	0,926548	1,5820308	1,6259944
0,0324	0,92702484	1,5814407	1,6258729
0,0326	0,92760181	1,5809102	1,6257584
0,0328	0,92778182	1,5801318	1,6256285
0,033	0,9274528	1,5800602	1,6254044
0,0332	0,92726803	1,5801747	1,6251481
0,0334	0,92704272	1,5800769	1,624893
0,0336	0,92702127	1,5799184	1,6248691
0,0338	0,92700577	1,5798242	1,6247046
0,034	0,92697835	1,5796907	1,6245663
0,0342	0,92678046	1,5794559	1,6245234
0,0344	0,92675781	1,5791793	1,624583
0,0346	0,92664814	1,5790398	1,6242993
0,0348	0,926548	1,5790267	1,6235948
0,035	0,92636919	1,5792389	1,6228318
0,0352	0,92630243	1,5796657	1,6221297
0,0354	0,92691278	1,5805299	1,6214609
0,0356	0,92757797	1,5809758	1,6207302
0,0358	0,92786407	1,581039	1,6202426
0,036	0,92781162	1,5811152	1,6198647
0,0362	0,92747545	1,5811939	1,6198957
0,0364	0,92708802	1,5812869	1,6201758
0,0366	0,92682934	1,5813286	1,6201401
0,0368	0,92676139	1,5813203	1,6202462
0,037	0,92659092	1,5813394	1,6202104
0,0372	0,92643476	1,5811963	1,6202784
0,0374	0,92629528	1,5811462	1,6202021
0,0376	0,92628813	1,5810008	1,6203046
0,0378	0,92609501	1,5809078	1,6203594
0,038	0,92565989	1,5806766	1,6204965
0,0382	0,92474675	1,5810306	1,6205561
0,0384	0,92412329	1,5815158	1,620605
0,0386	0,92339969	1,58179	1,6206241
0,0388	0,92296219	1,5822299	1,6207337
0,039	0,92253542	1,5827591	1,6208208
0,0392	0,92231011	1,5830917	1,6210997
0,0394	0,92201686	1,5836127	1,6212845
0,0396	0,92185593	1,5840478	1,6215312
0,0398	0,92136598	1,584415	1,6216338
0,04	0,9211359	1,585135	1,6216743
0,0402	0,92063284	1,5858097	1,6220033
0,0404	0,92070794	1,5863318	1,6226029
0,0406	0,92164254	1,5868015	1,6232407
0,0408	0,92254496	1,5866048	1,6238701
0,041	0,92349505	1,5861149	1,623981
0,0412	0,92432714	1,5854151	1,6239119
0,0414	0,92482066	1,5849264	1,6241288
0,0416	0,92533088	1,58444	1,624366
0,0418	0,92590904	1,584012	1,6243613
0,042	0,92659092	1,5836449	1,6245353
0,0422	0,92699504	1,5832622	1,6246045
0,0424	0,92740035	1,5828199	1,6246295
0,0426	0,9277401	1,5825517	1,6246641
0,0428	0,92806911	1,5821273	1,6245711
0,043	0,92825866	1,5816994	1,6245627
0,0432	0,92799401	1,5814586	1,6245258
0,0434	0,92778063	1,5816243	1,6245508
0,0436	0,92753267	1,5817256	1,6243649
0,0438	0,92735386	1,5817459	1,6241777
0,044	0,92717981	1,5817268	1,6239941
0,0442	0,92714405	1,5816624	1,6238487
0,0444	0,92693663	1,5817494	1,6236544
0,0446	0,92707729	1,5818257	1,6234171
0,0448	0,92717981	1,5818996	1,6232836
